city,timestamp,temperature,humidity,cloud_cover,wind_condition,precipitation,remarks
Hong Kong,2024-09-02T00:50:34.021698,29.28,86,12,1.79,False,few clouds
New York,2024-09-02T00:50:34.127396,25.69,78,100,3.6,False,overcast clouds
Tokyo,2024-09-02T00:50:34.225179,27,94,75,4.63,False,broken clouds
London,2024-09-02T00:50:34.315728,26.41,65,20,6.17,False,few clouds
Sydney,2024-09-02T00:50:34.399326,17.44,38,0,5.14,False,clear sky
Hong Kong,2024-09-02T01:00:34.252042,29.28,86,12,1.79,False,few clouds
New York,2024-09-02T01:00:34.337775,25.66,79,100,3.09,False,overcast clouds
Tokyo,2024-09-02T01:00:35.428984,27.01,92,75,5.66,False,broken clouds
London,2024-09-02T01:00:35.511120,26.19,67,20,6.17,False,few clouds
Sydney,2024-09-02T01:00:35.595285,17.26,39,0,4.12,False,clear sky
Hong Kong,2024-09-02T01:10:34.558452,29.28,87,12,1.79,False,few clouds
New York,2024-09-02T01:10:34.656412,25.65,79,100,3.6,True,light intensity drizzle
Tokyo,2024-09-02T01:10:35.753283,27.01,92,75,5.66,False,broken clouds
London,2024-09-02T01:10:35.841058,25.98,65,20,6.17,False,few clouds
Sydney,2024-09-02T01:10:35.944884,17.17,38,0,4.12,False,clear sky
Hong Kong,2024-09-02T01:20:35.265086,29.28,87,12,1.79,False,few clouds
New York,2024-09-02T01:20:35.352614,25.63,79,100,3.6,True,light intensity drizzle
Tokyo,2024-09-02T01:20:36.466810,27.01,92,75,5.66,False,broken clouds
London,2024-09-02T01:20:36.557162,26.04,66,20,4.92,False,few clouds
Sydney,2024-09-02T01:20:36.639136,17.21,39,0,4.12,False,clear sky
Hong Kong,2024-09-02T01:30:36.195654,29.28,86,12,1.79,False,few clouds
New York,2024-09-02T01:30:36.292576,25.67,80,100,4.12,False,overcast clouds
Tokyo,2024-09-02T01:30:37.394958,27.05,92,75,6.17,False,broken clouds
London,2024-09-02T01:30:37.476896,25.71,67,20,1.34,False,few clouds
Sydney,2024-09-02T01:30:37.566970,17.27,39,0,4.12,False,clear sky
Hong Kong,2024-09-02T01:40:37.097918,29.28,86,11,0.89,False,few clouds
New York,2024-09-02T01:40:37.200052,26.1,78,100,4.12,False,overcast clouds
Tokyo,2024-09-02T01:40:38.292636,27.05,92,75,6.17,False,broken clouds
London,2024-09-02T01:40:38.381569,25.14,70,18,1.34,False,few clouds
Sydney,2024-09-02T01:40:38.469973,17.43,38,0,5.14,False,clear sky
Hong Kong,2024-09-02T01:50:37.840833,29.32,86,11,0.89,False,few clouds
New York,2024-09-02T01:50:37.936999,26.1,78,100,4.12,False,overcast clouds
Tokyo,2024-09-02T01:50:39.046521,27.13,91,40,6.17,False,scattered clouds
London,2024-09-02T01:50:39.125132,24.81,70,18,2.24,False,few clouds
Sydney,2024-09-02T01:50:39.209379,17.42,38,0,5.14,False,clear sky
Hong Kong,2024-09-02T02:00:38.684526,29.28,86,11,0.89,False,few clouds
New York,2024-09-02T02:00:38.783551,26.16,79,100,2.06,False,overcast clouds
Tokyo,2024-09-02T02:00:39.885356,27.08,91,40,6.17,False,scattered clouds
London,2024-09-02T02:00:39.987045,24.53,71,18,1.34,False,few clouds
Sydney,2024-09-02T02:00:40.078391,17.46,37,0,6.17,False,clear sky
Hong Kong,2024-09-02T02:10:39.495014,29.28,87,11,0.89,False,few clouds
New York,2024-09-02T02:10:39.588557,26.11,78,100,4.63,False,drizzle
Tokyo,2024-09-02T02:10:40.685805,27.1,91,40,6.17,False,scattered clouds
London,2024-09-02T02:10:40.769423,24.39,72,18,1.79,False,few clouds
Sydney,2024-09-02T02:10:40.855302,17.46,37,0,6.17,False,clear sky
Hong Kong,2024-09-02T02:20:40.138095,29.03,86,11,0.89,False,few clouds
New York,2024-09-02T02:20:40.235427,26.15,78,100,4.63,False,drizzle
Tokyo,2024-09-02T02:20:41.338597,27.08,91,40,6.17,False,scattered clouds
London,2024-09-02T02:20:41.423702,24.06,71,40,4.63,False,scattered clouds
Sydney,2024-09-02T02:20:41.510603,17.46,37,0,6.17,False,clear sky
Hong Kong,2024-09-02T02:30:40.973491,29.03,86,11,0.89,False,few clouds
New York,2024-09-02T02:30:41.066592,26.2,77,100,4.63,False,drizzle
Tokyo,2024-09-02T02:30:42.170125,26.93,91,40,6.69,False,scattered clouds
London,2024-09-02T02:30:42.252185,24.11,71,40,4.63,False,scattered clouds
Sydney,2024-09-02T02:30:42.340996,17.55,37,0,6.17,False,clear sky
Hong Kong,2024-09-02T02:40:41.624455,29.03,86,8,0.89,False,clear sky
New York,2024-09-02T02:40:41.711502,26.29,77,100,4.63,False,drizzle
Tokyo,2024-09-02T02:40:42.813556,26.93,91,40,6.69,False,scattered clouds
London,2024-09-02T02:40:42.896723,23.63,72,4,1.34,False,clear sky
Sydney,2024-09-02T02:40:42.999449,17.24,38,0,6.17,False,clear sky
Hong Kong,2024-09-02T02:50:42.375255,28.99,87,68,1.34,False,broken clouds
New York,2024-09-02T02:50:42.467756,26.33,77,100,4.63,False,drizzle
Tokyo,2024-09-02T02:50:43.585412,26.93,91,40,6.69,False,scattered clouds
London,2024-09-02T02:50:43.680923,23.45,73,4,1.34,False,clear sky
Sydney,2024-09-02T02:50:43.772840,17.34,38,0,6.17,False,clear sky
Hong Kong,2024-09-02T03:00:43.208383,28.97,87,68,1.34,False,broken clouds
New York,2024-09-02T03:00:43.340096,26.53,75,100,6.17,False,drizzle
Tokyo,2024-09-02T03:00:44.436567,26.93,91,75,6.69,False,broken clouds
London,2024-09-02T03:00:44.527887,23.13,74,20,5.14,False,few clouds
Sydney,2024-09-02T03:00:44.612268,16.92,38,0,7.2,False,clear sky
Hong Kong,2024-09-02T03:10:44.052301,28.97,88,68,1.34,False,broken clouds
New York,2024-09-02T03:10:44.141413,26.69,74,100,4.12,False,drizzle
Tokyo,2024-09-02T03:10:45.236520,26.97,91,75,6.69,False,broken clouds
London,2024-09-02T03:10:45.332829,22.9,75,40,4.12,False,scattered clouds
Sydney,2024-09-02T03:10:45.419789,16.9,38,0,7.2,False,clear sky
Hong Kong,2024-09-02T03:20:44.797975,29.02,88,68,1.34,False,broken clouds
New York,2024-09-02T03:20:44.893640,26.66,73,100,4.12,False,drizzle
Tokyo,2024-09-02T03:20:45.990336,26.97,90,75,6.69,False,broken clouds
London,2024-09-02T03:20:46.071155,22.79,76,40,4.12,False,scattered clouds
Sydney,2024-09-02T03:20:46.177765,16.93,38,0,7.2,False,clear sky
Hong Kong,2024-09-02T03:30:45.624633,28.78,88,68,0.89,False,broken clouds
New York,2024-09-02T03:30:45.727072,26.63,73,100,4.12,False,drizzle
Tokyo,2024-09-02T03:30:46.827884,26.93,90,75,8.23,False,broken clouds
London,2024-09-02T03:30:46.912125,22.57,76,40,4.12,False,scattered clouds
Sydney,2024-09-02T03:30:46.995172,17.06,37,0,9.26,False,clear sky
Hong Kong,2024-09-02T03:40:46.248058,28.97,87,64,0.89,False,broken clouds
New York,2024-09-02T03:40:46.382597,26.86,73,100,4.12,False,drizzle
Tokyo,2024-09-02T03:40:47.508658,26.87,90,75,8.23,False,broken clouds
London,2024-09-02T03:40:47.612109,22.1,80,20,5.14,False,few clouds
Sydney,2024-09-02T03:40:47.705061,17.6,36,0,9.26,False,clear sky
Hong Kong,2024-09-02T03:50:47.100868,28.7,88,64,1.34,False,broken clouds
New York,2024-09-02T03:50:47.194777,26.92,72,100,4.12,False,drizzle
Tokyo,2024-09-02T03:50:48.296297,26.87,90,75,8.23,False,broken clouds
London,2024-09-02T03:50:48.384283,22.07,80,20,5.14,False,few clouds
Sydney,2024-09-02T03:50:48.479529,17.9,34,0,9.26,False,clear sky
Hong Kong,2024-09-02T04:00:47.943563,28.7,88,64,1.34,False,broken clouds
New York,2024-09-02T04:00:48.041601,27.29,71,100,4.12,False,drizzle
Tokyo,2024-09-02T04:00:49.129801,26.79,88,40,7.72,False,scattered clouds
London,2024-09-02T04:00:49.221905,21.76,81,20,5.14,False,few clouds
Sydney,2024-09-02T04:00:49.309142,18.04,34,0,9.26,False,clear sky
Hong Kong,2024-09-02T04:10:48.605690,28.7,88,64,1.34,False,broken clouds
New York,2024-09-02T04:10:48.707668,27.36,71,40,2.57,False,scattered clouds
Tokyo,2024-09-02T04:10:49.827339,26.8,87,40,7.72,False,scattered clouds
London,2024-09-02T04:10:49.912575,21.55,83,5,0.89,False,clear sky
Sydney,2024-09-02T04:10:50.061513,18.04,34,0,9.26,False,clear sky
Hong Kong,2024-09-02T04:20:49.500663,28.78,88,64,1.79,False,broken clouds
New York,2024-09-02T04:20:49.596770,27.56,70,40,2.57,False,scattered clouds
Tokyo,2024-09-02T04:20:50.701581,26.79,87,40,7.72,False,scattered clouds
London,2024-09-02T04:20:50.796790,21.32,84,5,1.34,False,clear sky
Sydney,2024-09-02T04:20:50.884483,18.04,34,0,9.26,False,clear sky
Hong Kong,2024-09-02T04:30:50.406161,28.7,88,64,1.79,False,broken clouds
New York,2024-09-02T04:30:50.519518,27.78,70,40,2.57,False,scattered clouds
Tokyo,2024-09-02T04:30:51.625817,26.84,88,40,7.2,False,scattered clouds
London,2024-09-02T04:30:51.713688,21.09,84,5,5.14,False,clear sky
Sydney,2024-09-02T04:30:51.808612,17.95,34,0,8.75,False,clear sky
Hong Kong,2024-09-02T04:40:51.477227,28.74,88,59,1.79,False,broken clouds
New York,2024-09-02T04:40:51.582473,27.67,69,40,2.57,False,scattered clouds
Tokyo,2024-09-02T04:40:52.685472,26.84,88,40,7.2,False,scattered clouds
London,2024-09-02T04:40:52.778355,20.92,85,7,2.57,False,clear sky
Sydney,2024-09-02T04:40:52.871920,17.95,33,0,8.75,False,clear sky
Hong Kong,2024-09-02T04:50:52.260960,28.9,88,59,1.34,False,broken clouds
New York,2024-09-02T04:50:52.356708,27.67,69,40,2.57,False,scattered clouds
Tokyo,2024-09-02T04:50:53.482057,26.79,88,40,7.2,False,scattered clouds
London,2024-09-02T04:50:53.564314,20.69,84,7,2.57,False,clear sky
Sydney,2024-09-02T04:50:53.658354,18.14,31,0,9.77,False,clear sky
Hong Kong,2024-09-02T05:00:53.138765,28.67,86,59,1.34,False,broken clouds
New York,2024-09-02T05:00:53.225613,27.82,70,0,5.14,False,clear sky
Tokyo,2024-09-02T05:00:54.324622,26.88,88,75,7.2,False,broken clouds
London,2024-09-02T05:00:54.418685,20.73,85,7,2.57,False,clear sky
Sydney,2024-09-02T05:00:54.509976,18.32,31,0,9.77,False,clear sky
Hong Kong,2024-09-02T05:10:53.899773,28.67,86,59,1.34,False,broken clouds
New York,2024-09-02T05:10:53.994796,28.05,68,0,5.14,False,clear sky
Tokyo,2024-09-02T05:10:55.100462,27.15,87,75,7.2,False,broken clouds
London,2024-09-02T05:10:55.182047,20.5,86,7,3.09,False,clear sky
Sydney,2024-09-02T05:10:55.267386,18.39,32,0,9.77,False,clear sky
Hong Kong,2024-09-02T05:20:54.666021,28.9,84,59,1.34,False,broken clouds
New York,2024-09-02T05:20:54.754019,28.03,68,0,5.14,False,clear sky
Tokyo,2024-09-02T05:20:55.849916,27.15,87,75,7.2,False,broken clouds
London,2024-09-02T05:20:55.951980,20.43,86,7,3.09,False,clear sky
Sydney,2024-09-02T05:20:56.077004,18.67,31,0,9.77,False,clear sky
Hong Kong,2024-09-02T05:30:55.421566,28.9,84,59,1.34,False,broken clouds
New York,2024-09-02T05:30:55.533873,27.92,68,0,5.14,False,clear sky
Tokyo,2024-09-02T05:30:56.631926,27.54,85,75,6.69,False,broken clouds
London,2024-09-02T05:30:56.734231,20.29,85,7,3.09,False,clear sky
Sydney,2024-09-02T05:30:56.830372,19.35,34,0,10.29,False,clear sky
Hong Kong,2024-09-02T05:40:56.076038,29.04,84,56,1.34,False,broken clouds
New York,2024-09-02T05:40:56.184434,27.92,68,0,5.14,False,clear sky
Tokyo,2024-09-02T05:40:57.285735,27.49,85,75,6.69,False,broken clouds
London,2024-09-02T05:40:57.379959,20.17,86,7,2.57,False,clear sky
Sydney,2024-09-02T05:40:57.473737,19.55,34,0,10.29,False,clear sky
Hong Kong,2024-09-02T05:50:56.975138,29.04,86,56,1.34,False,broken clouds
New York,2024-09-02T05:50:57.072340,27.9,68,0,5.14,False,clear sky
Tokyo,2024-09-02T05:50:58.177731,28.15,83,75,6.17,False,broken clouds
London,2024-09-02T05:50:58.277344,20.12,86,7,2.57,False,clear sky
Sydney,2024-09-02T05:50:58.363682,19.8,33,0,10.29,False,clear sky
Hong Kong,2024-09-02T06:00:58.041767,29.04,86,56,1.34,False,broken clouds
New York,2024-09-02T06:00:58.141678,27.92,70,20,4.12,False,few clouds
Tokyo,2024-09-02T06:00:59.244778,28.33,82,75,6.17,False,broken clouds
London,2024-09-02T06:00:59.331960,20.06,87,7,2.57,False,clear sky
Sydney,2024-09-02T06:00:59.427581,20.01,33,0,10.8,False,clear sky
Hong Kong,2024-09-02T06:10:58.787751,29.04,86,56,1.34,False,broken clouds
New York,2024-09-02T06:10:58.883741,27.92,70,20,4.12,False,few clouds
Tokyo,2024-09-02T06:10:59.981261,28.42,81,75,6.17,False,broken clouds
London,2024-09-02T06:11:00.066399,19.96,87,7,2.57,False,clear sky
Sydney,2024-09-02T06:11:00.150436,20.46,32,0,10.8,False,clear sky
Hong Kong,2024-09-02T06:20:59.795711,29.13,85,56,1.34,False,broken clouds
New York,2024-09-02T06:20:59.902616,27.74,69,75,4.12,False,broken clouds
Tokyo,2024-09-02T06:21:01.025187,28.67,81,75,6.17,False,broken clouds
London,2024-09-02T06:21:01.109531,19.89,88,7,2.57,False,clear sky
Sydney,2024-09-02T06:21:01.216892,20.71,32,0,10.8,False,clear sky
Hong Kong,2024-09-02T06:31:00.749708,28.7,87,56,1.34,False,broken clouds
New York,2024-09-02T06:31:00.839605,27.59,70,20,4.12,False,few clouds
Tokyo,2024-09-02T06:31:01.935587,28.67,81,75,6.17,False,broken clouds
London,2024-09-02T06:31:02.022396,19.88,88,7,2.57,False,clear sky
Sydney,2024-09-02T06:31:02.106609,21.25,31,0,13.38,False,clear sky
Hong Kong,2024-09-02T06:41:01.523656,28.74,88,60,1.34,False,broken clouds
New York,2024-09-02T06:41:01.615130,27.65,70,20,4.12,False,few clouds
Tokyo,2024-09-02T06:41:02.708892,29.31,78,75,5.66,False,broken clouds
London,2024-09-02T06:41:02.790992,19.83,88,8,2.57,False,clear sky
Sydney,2024-09-02T06:41:02.880801,21.65,30,0,13.38,False,clear sky
Hong Kong,2024-09-02T06:51:02.247481,28.74,88,60,0.89,False,broken clouds
New York,2024-09-02T06:51:02.342841,27.39,70,20,4.12,False,few clouds
Tokyo,2024-09-02T06:51:03.445269,29.42,77,75,5.66,False,broken clouds
London,2024-09-02T06:51:03.529933,19.79,88,20,2.57,False,few clouds
Sydney,2024-09-02T06:51:03.614388,22.3,27,0,1.34,False,clear sky
Hong Kong,2024-09-02T07:01:03.040003,28.74,87,60,0.89,False,broken clouds
New York,2024-09-02T07:01:03.124501,27.15,73,75,3.6,False,broken clouds
Tokyo,2024-09-02T07:01:04.228553,29.8,74,75,6.17,False,broken clouds
London,2024-09-02T07:01:04.311280,19.64,88,20,2.57,False,few clouds
Sydney,2024-09-02T07:01:04.401911,22.72,26,0,0.89,False,clear sky
Hong Kong,2024-09-02T07:11:03.818381,28.74,87,60,0.89,False,broken clouds
New York,2024-09-02T07:11:03.906302,26.93,74,75,4.02,False,broken clouds
Tokyo,2024-09-02T07:11:05.004005,29.98,75,75,6.17,False,broken clouds
London,2024-09-02T07:11:05.091820,19.64,88,75,2.06,False,broken clouds
Sydney,2024-09-02T07:11:05.195405,22.95,26,0,1.79,False,clear sky
Hong Kong,2024-09-02T07:21:04.737261,29.03,85,60,0.89,False,broken clouds
New York,2024-09-02T07:21:04.835245,26.86,72,0,4.63,False,clear sky
Tokyo,2024-09-02T07:21:05.937691,30.14,74,75,6.17,False,broken clouds
London,2024-09-02T07:21:06.021978,19.59,88,75,2.06,False,broken clouds
Sydney,2024-09-02T07:21:06.145017,22.99,26,0,1.79,False,clear sky
Hong Kong,2024-09-02T07:31:05.736173,29.17,86,60,1.34,False,broken clouds
New York,2024-09-02T07:31:05.840430,26.49,74,0,3.58,False,clear sky
Tokyo,2024-09-02T07:31:06.938288,30.49,73,40,7.2,False,scattered clouds
London,2024-09-02T07:31:07.021570,19.52,89,75,2.06,False,broken clouds
Sydney,2024-09-02T07:31:07.112852,23.57,26,0,12.35,False,clear sky
